personen_kaufmannsklassenId,personenId,kaufmannsklassenId
1146,47003,1.0
1147,21287,7.0
1148,47004,7.0
1149,47005,7.0
1150,47006,7.0
1151,23509,7.0
1152,47007,7.0
1153,47008,7.0
1154,19149,1.0
1155,24036,1.0
1156,9118,1.0
1157,21604,7.0
1158,47013,7.0
1159,29902,7.0
1160,47015,7.0
1161,38567,7.0
1162,47016,7.0
1163,27475,7.0
1164,47018,7.0
1165,47019,7.0
1166,47022,7.0
1167,47023,7.0
1168,43919,7.0
1169,47025,7.0
1170,47027,7.0
1171,47028,7.0
1172,36452,7.0
1173,25597,7.0
1174,47031,7.0
1175,47032,7.0
1176,47033,7.0
1177,47036,9.0
1178,47037,7.0
1179,47038,7.0
1180,47043,7.0
1181,47044,7.0
1182,47046,7.0
1183,47047,7.0
1184,47049,1.0
1185,37670,9.0
1186,47050,9.0
1187,8277,9.0
1188,47052,9.0
1189,47053,9.0
1190,8097,1.0
1191,47054,1.0
1192,47055,9.0
1193,12708,9.0
1194,9090,2.0
1195,16575,2.0
1196,10906,2.0
1197,11305,1.0
1198,47063,1.0
1199,47064,7.0
1200,1321,7.0
1201,47065,7.0
1202,47066,7.0
1203,47067,7.0
1204,12360,7.0
1205,47068,7.0
1206,47070,7.0
1207,47071,7.0
1208,47072,7.0
1209,47073,7.0
1210,8410,7.0
1211,8115,7.0
1212,47074,7.0
1213,47075,7.0
1214,17700,7.0
1215,47076,7.0
1216,47077,7.0
1217,47078,7.0
1218,47079,7.0
1219,47080,7.0
1220,47081,7.0
1221,47082,7.0
1222,47083,7.0
1223,9128,7.0
1224,47084,7.0
1225,18166,7.0
1226,47085,7.0
1227,47086,7.0
1228,47087,7.0
1229,8673,9.0
1230,47088,9.0
1231,47089,7.0
1232,47090,7.0
1233,14199,7.0
1234,47091,7.0
1235,8411,7.0
1236,47092,7.0
1237,8801,7.0
1238,47094,7.0
1239,12378,7.0
1240,47095,7.0
1241,43898,7.0
1242,47096,7.0
1243,14315,7.0
1244,47097,7.0
1245,47098,7.0
1246,47099,7.0
1247,47101,2.0
1248,47102,2.0
1249,21998,7.0
1250,47103,7.0
1251,43912,7.0
1252,15206,7.0
1253,30269,9.0
1254,47105,9.0
1255,8264,7.0
1256,47106,7.0
1257,47107,7.0
1258,12455,7.0
1259,47108,7.0
1260,9478,1.0
1261,47109,1.0
1262,47110,7.0
1263,47111,7.0
1264,47113,7.0
1265,47114,7.0
1266,24741,7.0
1267,47115,7.0
1268,47117,1.0
1269,42886,1.0
1270,23970,1.0
1271,39394,1.0
1272,47118,1.0
1273,47119,1.0
1274,47120,1.0
1275,47121,1.0
1276,43810,1.0
1277,28972,7.0
1278,47124,7.0
1279,47125,7.0
1280,47126,7.0
1281,29648,7.0
1282,47128,7.0
1283,47129,7.0
1284,47130,7.0
1285,47133,7.0
1286,29979,7.0
1287,47134,7.0
1288,47135,7.0
1289,39083,7.0
1290,47137,7.0
1291,47138,7.0
1292,47140,7.0
1293,37086,7.0
1294,47141,7.0
1295,47142,7.0
1296,47143,7.0
1297,46838,7.0
1298,47146,7.0
1299,47148,7.0
1300,47149,7.0
1301,47150,7.0
1302,47151,7.0
1303,47152,7.0
1304,47153,7.0
1305,47154,7.0
1306,47156,7.0
1307,47157,7.0
1308,47158,7.0
1309,47159,7.0
1310,47161,7.0
1311,43798,7.0
1312,47163,7.0
1313,15300,1.0
1314,47165,7.0
1315,47166,7.0
1316,47172,7.0
1317,1411,7.0
1318,47174,7.0
1319,47175,7.0
1320,10201,7.0
1321,4694,1.0
1322,40012,1.0
1323,47176,1.0
1324,30391,1.0
1325,47178,1.0
1326,47179,1.0
1327,47180,1.0
1328,47181,1.0
1329,47182,1.0
1330,47183,1.0
1331,47184,1.0
1332,47185,7.0
1333,47186,7.0
1334,47187,7.0
1335,47188,7.0
1336,47190,1.0
1337,47191,1.0
1338,47193,7.0
1339,47196,7.0
1340,8065,1.0
1341,44053,1.0
1342,10385,1.0
1343,47197,1.0
1345,47198,1.0
1346,47199,1.0
1347,47200,7.0
1348,47201,1.0
1349,47202,7.0
1350,47203,1.0
