personen_kremsId,personenId,art,handelsgut
1099,598,2,Seidenware
1100,600,,Rupfen
1101,602,2,Tabak
1102,603,1,Weinstein
1103,604,,Federn
1104,604,,Zinn
1105,604,,Tuch
1106,604,,Strümpfe
1107,605,1,Weinstein
1108,609,1,Alaun
1109,609,1,Weinstein
1110,609,1,Tabak
1111,606,2,Tabak
1112,607,2,Juchten
1113,608,2,Federn
1114,610,1,Tuch
1115,611,2,Federn
1116,612,2,Materialwaren
1117,612,2,Holzwaren
1118,613,2,Materialien
1119,614,1,Tuch
1120,615,2,Kastanien
1121,616,2,Kastanien
1122,616,1,Schmalz
1123,616,1,Tuch
1124,616,2,Zwetschgen
1125,616,2,Krämerei
1126,616,1,Butter
1127,617,2,Kastanien
1128,618,2,Materialien
1130,619,2,Materialien
1131,8001,2,Krämerei
1132,622,2,Heringe
1133,622,2,Krämerei
1134,622,2,Rupfen
1135,623,1,Perücken
1136,624,2,Wachs
1137,624,2,Federn
1138,624,1,Indigo
1139,624,,Tuch
1140,624,1,Beuteltuch
1141,624,1,Teppichleinwand
1142,624,2,Senf
1143,624,2,Knoppernmehl
1144,625,,Fischbein
1145,626,1,Früchte
1146,626,1,Garn
1147,626,1,Sardellen
1148,626,2,Senf
1149,626,1,Öl
1150,626,1,Kastanien
1151,626,1,Käse (Parmesan)
1152,626,2,Heringe
1153,626,2,Safran
1154,626,1,Baumöl
1155,626,1,Weinstein
1156,626,2,Lorbeer
1157,628,2,Röte
1158,629,1,Federn
1159,630,2,Pfeffer
1160,630,1,Weinstein
1161,631,2,Kastanien
1162,632,2,Kastanien
1163,633,1,Kürschnerware
1164,634,2,Juchten
1165,635,2,Zinn
1166,636,1,Käse
1167,637,1,Kürschnerware
1168,638,1,Juchten
1169,639,2,Tuch
1170,640,2,Tuch
1171,641,2,Tabak
1172,641,2,Röte
1173,641,2,Leim
1174,642,,Beschlagenes Gut
1175,642,,Wein
1176,642,,Bücher
1177,642,,Glas
1178,644,2,Stockfisch
1179,645,2,Schmalz
1180,645,2,Käse
1181,645,2,Stockfisch
1182,647,2,Trüb
1183,647,2,Socken
1184,648,2,Röte
1185,648,2,Feder
1186,648,,Tuch
1187,649,2,Leinöl
1188,649,2,Pfeffer
1189,649,2,Tabak
1190,650,1,Rupfen
1191,651,1,Kürschnerware
1192,652,1,Schmalz
1193,652,1,Butter
1194,653,1,Garn
1195,653,1,Dochtgarn
1196,653,1,Haar
1197,653,2,Holzwaren
1198,654,1,Garn
1199,654,1,Dochtgarn
1200,654,2,Messing
1201,654,2,Messer
1202,655,,Sensen
1203,656,2,Pfeffer
1204,656,1,Seife
1205,656,2,Käse
1206,656,2,Feigen
1207,656,2,Baumöl
1208,656,2,Bleihe
1209,656,2,Zucker
1210,656,2,Weinbeeren
