hauptdokument_verkaeufer_firmaId,id,firmaInstitutionId
1768,13532,358
1769,14949,358
1770,12944,359
1771,12961,359
1772,12958,360
1773,13080,360
1774,12997,361
1775,13126,361
1776,13007,363
1777,13019,364
1778,13048,365
1779,13941,365
1780,14044,365
1781,14305,365
1782,13086,366
1783,13110,367
1784,11644,369
1785,13147,369
1786,13937,369
1787,14173,369
1788,13391,376
1789,12956,377
1790,13064,377
1791,13075,377
1792,13388,377
1793,13561,377
1794,13564,377
1795,15112,377
1796,15195,377
1797,13571,378
1798,13572,378
1799,13573,378
1800,13746,378
1801,13751,378
1802,13752,378
1803,13753,378
1804,13754,378
1805,13755,378
1806,13756,378
1807,13757,378
1808,13758,378
1809,13759,378
1810,13760,378
1811,13761,378
1812,13762,378
1813,13766,378
1814,13767,378
1815,13768,378
1816,13769,378
1817,13770,378
1818,13774,378
1819,13775,378
1820,15027,378
1821,15028,378
1822,15029,378
1823,15092,378
1824,15099,378
1825,15100,378
1826,15279,378
1827,15302,378
1828,13681,379
1829,13639,380
1830,13615,381
1831,13620,381
1832,13718,381
1833,13815,384
1834,13877,385
1835,13880,385
1836,13879,386
1837,13881,387
1838,13908,388
1839,13921,389
1840,13950,390
1841,14039,391
1842,15042,391
1843,14177,392
1844,14241,395
1845,14285,396
1846,14853,396
1847,14363,398
1848,14448,399
1849,14453,399
1850,14456,399
1851,14495,400
1852,14496,401
1853,14514,402
1854,14675,407
1855,14765,411
1856,14887,412
1857,14975,416
1858,15059,417
1859,15090,418
1860,15094,418
1861,15121,421
1862,15251,422
1863,15344,422
1864,15280,423
1865,15322,425
1866,15400,426
1867,16272,426
1868,16920,426
